pin,slack
hptdc_tms_2_obuf/U0/U_IOPAD:D,
hptdc_tms_2_obuf/U0/U_IOPAD:E,
hptdc_tms_2_obuf/U0/U_IOPAD:PAD,
JTAG_1/TAP_state[3]:ADn,
JTAG_1/TAP_state[3]:ALn,
JTAG_1/TAP_state[3]:CLK,750
JTAG_1/TAP_state[3]:D,-645
JTAG_1/TAP_state[3]:EN,
JTAG_1/TAP_state[3]:LAT,
JTAG_1/TAP_state[3]:Q,750
JTAG_1/TAP_state[3]:SD,
JTAG_1/TAP_state[3]:SLn,
BiasController_0/un2_sclock_counterlto14_0:A,-1685
BiasController_0/un2_sclock_counterlto14_0:B,-1735
BiasController_0/un2_sclock_counterlto14_0:Y,-1735
hptdc_tdo_0_obuf/U0/U_IOENFF:A,
hptdc_tdo_0_obuf/U0/U_IOENFF:Y,
hptdc_tck_2_obuf/U0/U_IOENFF:A,
hptdc_tck_2_obuf/U0/U_IOENFF:Y,
ccu25_data_3_obuft[6]/U0/U_IOPAD:D,
ccu25_data_3_obuft[6]/U0/U_IOPAD:E,
ccu25_data_3_obuft[6]/U0/U_IOPAD:PAD,
hptdc_trigger_3_obuft/U0/U_IOPAD:D,
hptdc_trigger_3_obuft/U0/U_IOPAD:E,
hptdc_trigger_3_obuft/U0/U_IOPAD:PAD,
hptdc_token_bypass_in_3_obuft/U0/U_IOOUTFF:A,
hptdc_token_bypass_in_3_obuft/U0/U_IOOUTFF:Y,
hptdc_token_bypass_in_1_obuft/U0/U_IOPAD:D,
hptdc_token_bypass_in_1_obuft/U0/U_IOPAD:E,
hptdc_token_bypass_in_1_obuft/U0/U_IOPAD:PAD,
JTAG_3/un14_a2[2]:A,672
JTAG_3/un14_a2[2]:B,-513
JTAG_3/un14_a2[2]:C,585
JTAG_3/un14_a2[2]:Y,-513
BiasController_0/sclock_counter[28]:ADn,
BiasController_0/sclock_counter[28]:ALn,
BiasController_0/sclock_counter[28]:CLK,-340
BiasController_0/sclock_counter[28]:D,-210
BiasController_0/sclock_counter[28]:EN,
BiasController_0/sclock_counter[28]:LAT,
BiasController_0/sclock_counter[28]:Q,-340
BiasController_0/sclock_counter[28]:SD,
BiasController_0/sclock_counter[28]:SLn,-1902
ip_interface_inst_2:A,
ip_interface_inst_2:B,
ip_interface_inst_2:C,
dac_din_1_obuf/U0/U_IOPAD:D,
dac_din_1_obuf/U0/U_IOPAD:E,
dac_din_1_obuf/U0/U_IOPAD:PAD,
DACController_0/sclock_counter_s[16]:A,
DACController_0/sclock_counter_s[16]:B,470
DACController_0/sclock_counter_s[16]:C,
DACController_0/sclock_counter_s[16]:CC,-420
DACController_0/sclock_counter_s[16]:D,
DACController_0/sclock_counter_s[16]:P,
DACController_0/sclock_counter_s[16]:S,-420
DACController_0/sclock_counter_s[16]:UB,
JTAG_0/TAP_state[2]:ADn,
JTAG_0/TAP_state[2]:ALn,
JTAG_0/TAP_state[2]:CLK,-614
JTAG_0/TAP_state[2]:D,-513
JTAG_0/TAP_state[2]:EN,
JTAG_0/TAP_state[2]:LAT,
JTAG_0/TAP_state[2]:Q,-614
JTAG_0/TAP_state[2]:SD,
JTAG_0/TAP_state[2]:SLn,
hptdc_token_bypass_in_1_obuft/U0/U_IOENFF:A,
hptdc_token_bypass_in_1_obuft/U0/U_IOENFF:Y,
JTAG_0/TAP_state_RNO[3]:A,734
JTAG_0/TAP_state_RNO[3]:B,628
JTAG_0/TAP_state_RNO[3]:C,546
JTAG_0/TAP_state_RNO[3]:D,-645
JTAG_0/TAP_state_RNO[3]:Y,-645
JTAG_0/tms_pad_o_6_i_a7_0:A,-1937
JTAG_0/tms_pad_o_6_i_a7_0:B,-1981
JTAG_0/tms_pad_o_6_i_a7_0:C,-2066
JTAG_0/tms_pad_o_6_i_a7_0:D,-2184
JTAG_0/tms_pad_o_6_i_a7_0:Y,-2184
DIN_1_obuf/U0/U_IOOUTFF:A,
DIN_1_obuf/U0/U_IOOUTFF:Y,
JTAG_1/TAP_state[0]:ADn,
JTAG_1/TAP_state[0]:ALn,
JTAG_1/TAP_state[0]:CLK,-564
JTAG_1/TAP_state[0]:D,-440
JTAG_1/TAP_state[0]:EN,
JTAG_1/TAP_state[0]:LAT,
JTAG_1/TAP_state[0]:Q,-564
JTAG_1/TAP_state[0]:SD,
JTAG_1/TAP_state[0]:SLn,
dac_din_3_obuf/U0/U_IOPAD:D,
