@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3626:2:3626:14|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_16,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_15
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3580:2:3580:14|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_15,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_14
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3534:2:3534:14|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_14,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_13
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3488:2:3488:14|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_13,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_12
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3442:2:3442:14|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_12,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_11
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3396:2:3396:14|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_11,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_10
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3304:2:3304:13|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_9,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_10
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3258:2:3258:13|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_8,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_10
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3212:2:3212:13|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_7,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_10
@W: BN132 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreahblite\5.2.100\rtl\vlog\core\coreahblite_matrix4x16.v":3166:2:3166:13|Removing user instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_6,  because it is equivalent to instance Core_sb_0.CoreAHBLite_0.matrix4x16.slavestage_10
@W: MT530 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\hdl\usb.v":153:4:153:9|Found inferred clock TDR|ifclk which controls 40 sequential elements including USB_0.pbpd_temp[7:0]. This clock has no specified timing constraint which may adversely impact design performance. 
@W: MT530 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\hdl\adder.v":90:4:90:9|Found inferred clock TDR|clk which controls 5180 sequential elements including Adder_0.data_out_1[60:59]. This clock has no specified timing constraint which may adversely impact design performance. 
@W: MT530 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\work\core_sb_mss\core_sb_mss.v":271:0:271:13|Found inferred clock Core_sb_CCC_0_FCCC|GL0_net_inferred_clock which controls 210 sequential elements including Core_sb_0.Core_sb_MSS_0.MSS_ADLIB_INST. This clock has no specified timing constraint which may adversely impact design performance. 
@W: MT530 :"d:\dropali\dropbox\documents\projects\firmware\source\final2\component\actel\directcore\coreresetp\7.0.104\rtl\vlog\core\coreresetp.v":912:4:912:9|Found inferred clock Core_sb_FABOSC_0_OSC|N_RCOSC_25_50MHZ_CLKOUT_inferred_clock which controls 15 sequential elements including Core_sb_0.CORERESETP_0.sdif3_areset_n_rcosc_q1. This clock has no specified timing constraint which may adversely impact design performance. 
@W: MO111 :|Tristate driver Adder_0_address_out_t[0] on net Adder_0_address_out[0] has its enable tied to GND (module TDR) 
@W: MO111 :|Tristate driver Adder_0_address_out_t[1] on net Adder_0_address_out[1] has its enable tied to GND (module TDR) 
@W: MO111 :|Tristate driver Adder_0_address_out_t[2] on net Adder_0_address_out[2] has its enable tied to GND (module TDR) 
@W: MO111 :|Tristate driver Adder_0_address_out_t[3] on net Adder_0_address_out[3] has its enable tied to GND (module TDR) 
@W: MO111 :|Tristate driver Adder_0_address_out_t[4] on net Adder_0_address_out[4] has its enable tied to GND (module TDR) 
@W: MO111 :|Tristate driver Adder_0_address_out_t[5] on net Adder_0_address_out[5] has its enable tied to GND (module TDR) 
@W: MO111 :|Tristate driver Adder_0_address_out_t[6] on net Adder_0_address_out[6] has its enable tied to GND (module TDR) 
